0.840611,2.864587,3
1.112799,2.812906,1
1.244201,2.019797,3
1.477751,2.291402,3
1.50172,2.211142,3
1.558113,3.570475,1
1.608214,2.638831,3
1.613891,3.384644,1
1.64692,2.701649,3
1.729724,2.137697,1
1.766895,1.848948,1
1.771407,2.428039,1
1.780591,3.517485,1
1.810207,3.216284,1
1.830392,2.781584,1
1.836345,2.257194,1
1.870198,3.304316,1
1.872757,2.329421,1
1.904465,3.078367,1
1.919055,2.967775,3
1.936841,2.424183,1
1.975113,3.244933,1
1.990158,2.01668,3
1.994042,2.964626,1
2.037066,3.285059,1
2.045349,3.205361,3
2.064282,2.375008,1
2.077296,2.670444,1
2.10419,3.67207,1
2.106455,3.743919,1
2.132602,4.313718,1
2.160574,4.122479,1
2.194942,4.721579,1
2.197156,3.553374,1
2.208788,2.406043,1
2.211817,2.63562,3
2.214364,3.522449,1
2.21605,2.630179,3
2.217464,2.526396,3
2.222584,1.704423,3
2.224154,1.877697,1
2.224291,3.332289,1
2.240499,4.156584,1
2.251522,3.165262,1
2.255648,3.147393,1
2.265728,2.950101,1
2.266641,1.314864,3
2.273189,3.838304,1
2.283196,2.834289,3
2.289508,2.253673,1
2.292085,3.016539,1
2.298062,3.20421,1
2.302465,1.068171,3
2.304598,3.56458,1
2.305547,2.342291,1
2.308718,2.018232,3
2.313385,2.576963,3
2.326339,3.364687,3
2.349274,3.358165,3
2.354107,1.806237,3
2.371345,2.091791,1
2.383139,1.538098,1
2.413258,2.647379,1
2.416619,3.409985,1
2.418353,3.06865,1
2.429811,1.928992,1
2.431999,2.757336,3
2.439102,2.67676,1
2.469411,3.572104,1
2.476877,3.263202,1
2.478982,3.337661,1
2.491434,2.430537,3
2.49353,2.866704,3
2.5042,4.205432,1
2.515264,2.642158,1
2.521634,2.665575,1
2.522589,2.860481,1
2.527247,2.878816,1
2.53288,2.971474,1
2.540086,2.973026,1
2.562359,2.727413,3
2.567669,2.528018,1
2.572998,2.108091,1
2.583863,3.210752,1
2.584376,3.455285,1
2.591309,4.055221,1
2.599593,2.498513,1
2.606965,2.509628,3
2.615696,1.789347,1
2.622762,2.549854,1
2.623834,1.897983,3
2.63405,2.071301,1
2.637955,2.529773,1
2.65942,3.155007,1
2.663777,2.213358,3
2.664148,3.288514,1
2.664248,3.213515,1
2.664953,2.448218,1
2.666271,1.115243,1
2.672134,3.895254,1
2.672573,2.445279,1
2.673325,2.475695,1
2.674685,2.688388,1
2.677155,3.404164,1
2.678716,2.161695,3
2.681812,2.92544,1
2.704827,3.020296,1
2.716689,2.67695,1
2.724559,3.867377,1
2.724572,3.70457,1
2.727549,3.014816,1
2.731886,3.093541,1
2.735402,1.238065,1
2.738856,3.298082,1
2.751909,2.805482,1
2.761075,3.047156,1
2.76133,4.170698,1
2.78104,3.253468,1
2.809999,2.074013,1
2.811845,2.959881,1
2.814028,2.43107,3
2.834943,3.083921,1
2.835052,4.005606,1
2.837978,2.362143,1
2.859003,3.932703,1
2.861421,3.41359,1
2.871187,2.129649,3
2.872792,4.267611,1
2.877458,1.463722,3
2.880138,1.703436,1
2.880406,4.627112,1
2.884159,3.017961,1
